Lesson,Manx,English,Category
1,er n'akin,has/have seen,Verb
1,er n'ee,has/have eaten,Verb
1,er chloie,has/have played,Verb
1,er vaarey,has/have shaved,Verb
1,er jeet,has/have come,Verb
1,er ghooney,has/have closed,Verb
1,er ghoaill,has/have taken,Verb
1,er yeeaghyn,has/have watched,Verb
1,er chionnagh,has/have bought,Verb
1,er vongey,has/have smiled,Verb
1,er phaagey,has/have kissed,Verb
1,er hooyl,has/have walked,Verb
1,er hroggal,has/have built,Verb
1,er n'obbragh,has/have worked,Verb
1,hannah,already / yet,Adverb
1,foast,still / yet,Adverb
1,rieau,ever,Adverb
1,fuill,blood,Noun
1,gollage,pitch fork,Noun
1,grunt,ground,Noun
1,kiaulley,singing,Verb
1,marroo,dead,Adjective
1,mayrt,with you,Preposition
1,red ennagh,something,Phrase
1,smooinaght,thought / idea,Noun
1,sourey,summer,Noun
1,tammylt,a while,Noun
1,ushag,bird,Noun
2,deiney,men,Noun
2,resooney mychione,debating about,Verb
2,blaa,flower,Noun
2,mergey,banner,Noun
2,bennalt,flapping,Verb
2,gleashagh,moving,Verb
2,chied,first,Adjective
2,dy firrinagh,truly,Adverb
2,nah,second,Adjective
2,trass,third,Adjective
2,shaghey,past,Preposition
2,edyr,either,Conjunction
2,aigney,mind,Noun
2,keayrt dy row,once upon a time,Time
2,tey glass,green tea,Noun
2,garey,garden,Noun
2,aalin,beautiful,Adjective
2,gheay,wind,Noun
2,mainshter Zen,Zen master,Noun
2,woieaghyn,gentlemen,Noun
3,cabbyl beg,a small horse,Noun
3,foillan beg,a small gull,Noun
3,roddan beg,a small long-tail,Noun
3,kiark veg,a small chicken,Noun
3,muc veg,a small pig,Noun
3,booa veg,a small cow,Noun
3,keyrrey veg,a small sheep,Noun
3,ushag veg,a small bird,Noun
3,aer,air / sky,Noun
3,aile,fire,Noun
3,bannee,bless,Verb
3,blebbin,fool,Noun
3,calmane,pigeon,Noun
3,etlan,’plane,Noun
3,getlagh,flying,Verb
3,kiart,right,Adjective
3,roddan,long tail (euphemism for rat),Noun
3,sauail,saving,Verb
4,lhiggey da,letting / allowing,Verb
4,faggys da,close to / near to,Preposition
4,cur da,giving to,Verb
4,gra rish,saying to,Verb
4,cur,giving / putting,Verb
4,faggys,near,Adverb
4,lhiggey,letting / allowing,Verb
4,pash,pot / kettle / pan,Noun
5,ro,too,Adverb
5,dy chooilley,every,Adjective
5,un,one,Number
5,daa,two,Number
5,cha nel agh,only / there is only,Phrase
5,shapp,shop,Noun
5,noa,new,Adjective
5,creck,selling,Verb
5,soddag phash,pancake,Noun
5,thie-lhionney,pub,Noun
5,ram,lots (of),Adjective
5,goll my-neealloo,fainting,Verb
5,Injinagh,Indian,Adjective
5,rour,too much,Adverb
5,seyr,free,Adjective
5,smooinaghtyn,thinking,Verb
5,shilley,sight,Noun
5,cur shilley er,visiting,Verb
5,askaid,boil / ulcer,Noun
5,dooint,closed,Adjective
5,foshlit,open,Adjective
5,jeant,finished,Adjective
5,kenjal,kind,Adjective
